ts,mbps,fps,bytes_sent,interval_s
2025-11-01T23:51:18Z,0.027216,30.18316952219606,3402,0.032187078
2025-11-01T23:51:18Z,0.041424,30.040506431118555,5178,0.035648489
2025-11-01T23:51:18Z,0.028016,30.151730799004923,3502,0.031200873
2025-11-01T23:51:18Z,0.026776,30.157067456528065,3347,0.033059949
2025-11-01T23:51:18Z,0.033968,30.076774004984888,4246,0.034841674
2025-11-01T23:51:18Z,0.009128,30.20127292536535,1141,0.030507057
2025-11-01T23:51:18Z,0.063224,30.038640505600785,7903,0.036875805
2025-11-01T23:51:18Z,0.0176,30.12052869205851,2200,0.031299318
2025-11-01T23:51:18Z,0.047192,30.070224800189372,5899,0.034477358
2025-11-01T23:51:18Z,0.00484,30.15107770353834,605,0.031115224
2025-11-01T23:51:18Z,0.45276,29.18616434268934,56595,0.060578799
2025-11-01T23:51:18Z,0.010416,30.118801422807085,1302,0.006677916
2025-11-01T23:51:18Z,0.004088,30.046724994333687,511,0.035352267
2025-11-01T23:51:19Z,0.031672,30.020111963288336,3959,0.034107617
2025-11-01T23:51:19Z,0.047472,30.022797324572043,5934,0.033224597
2025-11-01T23:51:19Z,0.05092,30.051963180106316,6365,0.032338245
2025-11-01T23:51:19Z,0.053592,30.034960965847763,6699,0.033859635
2025-11-01T23:51:19Z,0.031664,31.455752074318116,3958,0.031790688
2025-11-01T23:51:19Z,0.026984,30.313938727951346,3373,0.034185562
2025-11-01T23:51:19Z,0.017384,30.79182533694263,2173,0.031452206
2025-11-01T23:51:19Z,0.054672,30.07401530944816,6834,0.03557673
2025-11-01T23:51:19Z,0.087688,29.677542108811593,10961,0.035472378
2025-11-01T23:51:19Z,0.008736,30.535504035137084,1092,0.028015017
2025-11-01T23:51:19Z,0.026136,30.301877126399056,3267,0.03451621
2025-11-01T23:51:19Z,0.032264,30.212517719830473,4033,0.033782117
2025-11-01T23:51:19Z,0.011048,30.261209820506338,1381,0.032619541
